"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Conversant","/kəˈnvɝsənt/","adj.","conversant, more conversant, most conversant","conversance (n.), conversancy (n.)","(usually followed by `with') well informed about or knowing thoroughly","The lawyer was conversant with all the latest legal precedents in tax law.","conversant with the subject; conversant in multiple languages; conversant on current events","C2"
"Contrite","/kənˈtɹaɪt/","adj.","contrite, more contrite, most contrite","contriteness (n.)","feeling or expressing pain or sorrow for sins or offenses","The contrite defendant apologized profusely for his actions in court.","contrite apology; contrite expression; contrite heart","C2"
"Convivial","/kəˈnvɪviəl/","adj.","convivial, more convivial, most convivial","conviviality (n.)","occupied with or fond of the pleasures of good company","The convivial atmosphere at the party made everyone feel welcome and included.","convivial atmosphere; convivial gathering; convivial mood","C2"
"Conundrum","/kəˈnʌndɹəm/","n.","conundrum, conundrums","None","a difficult problem","The conundrum of how to reduce traffic congestion puzzled city planners.","solve a conundrum; face a conundrum; present a conundrum","C2"
"Cordial","/ˈkɔɹdʒəl/","adj.","cordial, more cordial, most cordial","cordiality (n.)","diffusing warmth and friendliness","She gave him a cordial smile and invited him to join the group.","cordial greeting; cordial relationship; cordial invitation","C2"
"Copious","/ˈkoʊpiəs/","adj.","copious, more copious, most copious","copiously (adv.), copiousness (n.)","large in number or quantity (especially of discourse)","The professor provided copious notes to supplement the lecture.","copious notes; copious amounts; copious details","C2"
"Corrosive","/kɚˈoʊsɪv/","adj.","corrosive, more corrosive, most corrosive","corrode (v.), corrosion (n.)","of a substance, especially a strong acid; capable of destroying or eating away by chemical action","The corrosive acid ate through the metal container in minutes.","corrosive substance; corrosive effect; corrosive criticism","C2"
"Cosmopolitan","/ˌkɑzməˈpɑlətən/","adj.","cosmopolitan, more cosmopolitan, most cosmopolitan","None","growing or occurring in many parts of the world","The cosmopolitan city attracted visitors from all over the world.","cosmopolitan city; cosmopolitan culture; cosmopolitan outlook","C2"
"Corpulent","/ˈkɔːpjələnt/","adj.","corpulent, more corpulent, most corpulent","corpulence (n.)","excessively fat","The corpulent man struggled to fit into the airplane seat.","corpulent figure; corpulent man; corpulent appearance","C2"
"Convene","/kəˈnvin/","v.","convene, convenes, convened, convened, convening","convener (n.), convening (n.), convention (n.)","To come together; to meet; to unite.","The committee decided to convene a meeting to discuss the budget issues.","convene a meeting; convene an assembly; convene the committee","C2"
"Corroborate","/kɚˈɑbɚˌeɪt/","v.","corroborate, corroborates, corroborated, corroborated, corroborating","corroboration (n.), corroborative (adj.)","establish or strengthen as with new evidence or facts","The witness testimony corroborated the victim's account of the incident.","corroborate evidence; corroborate the story; corroborate the findings","C2"
"Convalesce","/ˌkɑnvəˈlɛs/","v.","convalesce, convalesces, convalesced, convalesced, convalescing","convalescent (adj.), convalescence (n.)","get over an illness or shock","After a week in bed, she began to convalesce and regain her strength.","convalesce at home; convalesce after surgery; convalesce from illness","C2"
"Countenance","/ˈkaʊntənəns/","n.","countenance, countenances","None","the appearance conveyed by a person's face","His countenance was serious as he delivered the news about the company's layoffs.","stern countenance; change countenance; maintain countenance","C2"
