"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Incorrigible","/ɪˈnkɑɹədʒəbəl/","adj.","incorrigible, more incorrigible, most incorrigible","incorrigibility (n.)","impervious to correction by punishment","Despite multiple suspensions, the incorrigible student continued to disrupt class with his pranks.","incorrigible liar; incorrigible habit; incorrigible optimist","C2"
"Incipient","/ɪˈnsɪpiənt/","adj.","no changes","incipience (n.)","only partly in existence; imperfectly formed","The incipient stages of the project showed promise, but it needed more development to succeed.","incipient stages; incipient disease; incipient stage of development","C2"
"Incongruous","/ɪˈŋkɔŋɹuəs/","adj.","incongruous, more incongruous, most incongruous","incongruity (n.)","lacking in harmony or compatibility or appropriateness","The modern sculpture looked incongruous in the middle of the traditional Italian piazza.","incongruous elements; incongruous mixture; incongruous style","C2"
"Incredulous","/ɪnˈkɹɛdʒələs/","adj.","incredulous, more incredulous, most incredulous","incredulity (n.)","not disposed or willing to believe; unbelieving","She was incredulous when her brother claimed he had seen a UFO in the night sky.","incredulous stare; incredulous expression; incredulous tone","C2"
"Incisive","/ɪˈnsaɪsɪv/","adj.","incisive, more incisive, most incisive","incisiveness (n.)","having or demonstrating ability to recognize or draw fine distinctions","The lawyer's incisive analysis of the case helped the jury understand the complex legal issues.","incisive analysis; incisive mind; incisive commentary","C2"
"Inclusive","/ɪnˈklusɪv/","adj.","inclusive, more inclusive, most inclusive","include (v.)","Including (almost) everything within its scope.","The new policy was inclusive, covering almost every possible scenario that could arise.","inclusive education; inclusive policy; inclusive approach","C2"
"Inclement","/ɪnˈklɛmənt/","adj.","inclement, more inclement, most inclement","inclemency (n.), inclementness (n.)","(of weather or climate) severe","The hikers were forced to retreat due to the inclement weather, with heavy rain and strong winds.","inclement weather; inclement conditions; inclement storm","C2"
"Incognito","/ɪnkɔˈɡnitoʊ/","adj.","no changes","None","with your identity concealed","The celebrity traveled incognito to avoid being recognized by fans and paparazzi.","incognito mode; travel incognito; remain incognito","C2"
"Increment","/ˈɪnkɹəmənt/","n.","increment, increments","incremental (adj.)","a process of becoming larger or longer or more numerous or more important","The company reported a steady increment in profits over the past five years.","annual increment; salary increment; steady increment","C2"
"Incumbent","/ɪˈnkʌmbənt/","adj.","no changes","incumbency (n.)","lying or leaning on something else","The incumbent mayor leaned on years of experience to win the election again.","incumbent president; incumbent leader; incumbent government","C2"
