word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Punitive,/ˈpjunətɪv/,adj.,"punitive, more punitive, most punitive",punish (v.),inflicting punishment｜實施懲罰的; 懲罰性的,The punitive measures imposed by the government aimed to deter future crimes.,punitive measures; punitive damages; punitive action,C2
Pungent,/ˈpʌndʒənt/,adj.,"pungent, more pungent, most pungent","pungency (n.), pungently (adv.)",strong and sharp｜強烈而尖銳的; 刺激的,The pungent smell of garlic filled the kitchen as she cooked.,pungent smell; pungent aroma; pungent flavor,C2
Protocol,/ˈpɹoʊtəˌkɑl/,n.,"protocol, protocols",None,a set of rules governing the format and exchange of data or communications; an established procedure｜規範資料或通訊格式和交換的規則集; 既定程序,The new protocol improved the speed and reliability of data transmission.,network protocol; communication protocol; security protocol,C2
Proxy,/ˈpɹɑksi/,n.,"proxy, proxies",None,a person authorized to act for another｜獲授權代他人行事的人,"As his proxy, she was authorized to sign the legal documents on his behalf.",proxy server; proxy vote; proxy war,C2
Quack,/ˈkwæk/,v.,"quack, quacks, quacked, quacked, quacking",quackery (n.),utter quacking noises｜發出嘎嘎叫聲,The ducklings quacked loudly as they followed their mother across the pond.,ducks quack; quack like a duck; quack loudly,C2
Qualified,/ˈkwɑləˌfaɪd/,adj.,"qualified, more qualified, most qualified",None,having the necessary skills or credentials; (of approval) limited or restricted｜具有必要技能或資格的; (批准)有限的或受限制的,Only a qualified professional should attempt this complex repair.,qualified candidate; qualified professional; qualified opinion,C2
Pusillanimous,/pjusəˈlænəməs/,adj.,"pusillanimous, more pusillanimous, most pusillanimous",pusillanimity (n.),lacking in courage and manly strength and resolution; contemptibly fearful｜缺乏勇氣和男子氣概及決心; 膽怯可鄙的,"The pusillanimous leader retreated at the first sign of conflict, disappointing his followers.",pusillanimous behavior; pusillanimous coward; pusillanimous leader,C2
Quagmire,/ˈkwæˌɡmaɪɚ/,n.,"quagmire, quagmires",None,"a soft wet area of low-lying land that sinks underfoot｜低窪的軟濕地帶,踩上去會下陷","The hikers found themselves in a quagmire, struggling to pull their boots from the mud.",environmental quagmire; political quagmire; bureaucratic quagmire,C2
Pugnacious,/pəˈɡnæʃɪs/,adj.,"pugnacious, more pugnacious, most pugnacious","pugnacity (n.), pugnaciously (adv.)","eager or quick to argue, fight, or quarrel; combative｜熱衷或容易爭論、爭鬥或吵架的; 好鬥的",The pugnacious boxer had won several championships due to his aggressive style in the ring.,pugnacious attitude; pugnacious boxer; pugnacious demeanor,C2
Purvey,/pɚˈveɪ/,v.,"purvey, purveys, purveyed, purveyed, purveying","purveyor (n.), purveyance (n.)",supply with provisions｜供應食物和必需品,The local market purveys fresh produce and handmade goods to the community.,purvey food; purvey goods; purvey information,C2
