word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Household,/ˈhaʊˌshoʊld/,n.,"household, households",householder (n.),the people living together in one home; relating to a home or its daily activities｜住在一起的人；與家庭或其日常活動相關的,"As a consequence of these fires, a large number of structures are destroyed, releasing household chemicals into the environment as uncontrolled toxins.",household name; household income; household chores,B2
Ignorance,/ˈɪɡnɚəns/,n. [U],no changes,"ignore (v.), ignorant (adj.)",a lack of knowledge or information about something｜對某事缺乏知識或資訊,Her ignorance of the local customs caused a few awkward moments during the trip.,complete ignorance; out of ignorance; ignorance of the law,B2
Imaginative,/ɪˈmædʒənətɪv/,adj.,"imaginative, more imaginative, most imaginative","imagine (v.), imaginativeness (n.)",having a lively or creative imagination｜擁有生動或創造性的想像力,The teacher praised the student for her imaginative approach to solving the math problem.,highly imaginative; imaginative mind; imaginative solution,B2
Illustration,/ˌɪləsˈtɹeɪʃən/,n.,"illustration, illustrations",illustrate (v.),artwork that helps make something clear or attractive｜使事物清晰或美觀的藝術作品,The children's book was filled with beautiful illustrations that brought the story to life.,vivid illustration; clear illustration; book illustration,B2
Immigrant,/ˈɪməɡɹənt/,n.,"immigrant, immigrants",immigrate (v.),a person who comes to a country where they were not born in order to settle there｜移居到非出生國並定居的人,"As a first-generation immigrant, she worked hard to build a new life in her adopted country.",recent immigrant; illegal immigrant; undocumented immigrant,B2
Imaginary,/ɪˈmædʒəˌnɛɹi/,adj.,"imaginary, more imaginary, most imaginary",None,not based on fact; unreal｜非基於事實的；不真實的,"They share secrets, play games, and rule over imaginary kingdoms.",imaginary friend; purely imaginary; imaginary world,B2
Imitation,/ˌɪməˈteɪʃən/,n.,"imitation, imitations",imitate (v.),a copy or simulation of something; the act of copying someone's behavior or style｜某物的複製品或模擬；模仿某人行為或風格的行為,The artist's imitation of the classical style was so convincing that many experts were fooled.,cheap imitation; imitation leather; sincere form of imitation,B2
Immigration,/ˌɪməˈɡɹeɪʃən/,n.,"immigration, immigrations",immigrate (v.),the act of coming to live permanently in a country where you were not born｜移居到非出生國並永久定居的行為,The government introduced stricter immigration controls to manage the flow of people into the country.,illegal immigration; immigration policy; immigration reform,B2
Impact,/ɪˈmpækt/,n.,"impact, impacts",impaction (n.),a strong effect or influence on someone or something｜對某人或某事物的強烈影響,The new policy had a profound impact on how students performed in school.,huge impact; profound impact; incredible impact,B2
Impression,/ɪmˈpɹɛʃən/,n.,"impression, impressions","impress (v.), impressionistic (adj.)","an effect, feeling, or image that something leaves in someone's mind｜某事物在心中留下的印象、感覺或形象","In its present form, it is a collection of irrelevant stories based on impressions and on the unscientific use of data.",strong impression; overall impression; misleading impression,B2
Incident,/ˈɪnsədənt/,n.,"incident, incidents",incidence (n.),a single distinct event｜一個單獨的事件,The incident at the factory forced management to review all safety procedures immediately.,serious incident; isolated incident; incident report,B2
Incredible,/ɪnˈkɹɛdəbəl/,adj.,"incredible, more incredible, most incredible","incredibility (n.), incredibleness (n.)",beyond belief or understanding｜令人難以置信的,The rescue team showed incredible courage when they entered the burning building to save the trapped family.,incredible amount; absolutely incredible; incredible impact,B2
Indication,/ˌɪndəˈkeɪʃən/,n.,"indication, indications",indicate (v.),something that serves to indicate or suggest｜用以表示或暗示的事物,The patient's rising fever was a clear indication that the infection had not yet responded to treatment.,clear indication; strong indication; early indication,B2
Immigrate,/ˈɪməˌɡɹeɪt/,v.,"immigrate, immigrates, immigrated, immigrated, immigrating","immigrant (n.), immigration (n.)",migrate to a new environment｜遷移到新環境,"Her mother immigrated to the US from southern India, landing in Berkeley, California for the same reason as her father: education.",immigrate to; immigrate legally; plan to immigrate,B2
Hush,/ˈhʌʃ/,v.,"hush, hushes, hushed, hushed, hushing",None,become quiet or still; fall silent｜變得安靜或靜止；沉默下來,She hushed the children with a gentle wave of her hand so that the speaker could continue.,hush up; hush money; in a hush,B2
Including,/ɪnˈkludɪŋ/,prep.,no changes,None,containing as part of a whole; which also comprises or involves the mentioned items｜包含作為整體的一部分；也涵蓋或涉及所提及的項目,"Everyone in the class, including the teacher, was excited about the upcoming field trip.",including myself; not including; including those,B2
