"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Absent","/ˈæbsənt/","adj.","absent, more absent, most absent","absence (n.), absentee (n.)","not being in a specified place","She wasn't absent and , neither was my father.","often absent; totally absent; europe absent","A2"
"Active","/ˈæktɪv/","adj.","active, more active, most active","activity (n.), activeness (n.)","tending to become more severe or wider in scope","My grandfather stays active by walking in the park every day.","active listening; stay active; active support","A2"
"Activity","/æˈktɪvəti/","n.","activity, activities","active (adj.)","any specific behavior","You won't have as much activity in your brain.","blast random activity; favorite activity; neural activity","A2"
"Accident","/ˈæksədənt/","n.","accident, accidents","accidental (adj.)","an unfortunate mishap; especially one causing damage or injury","It's not an accident and it's not easy.","total accident; accident especially; fukushima accident","A2"
"Absence","/ˈæbsəns/","n. [U]","no changes","absent (adj.)","the state of being absent","An absence of meaning in their lives.","notable absence; absence makes; complete absence","A2"
"Addition","/əˈdɪʃən/","n.","addition, additions","add (v.)","a component that is added to something to improve it","The new sofa is a nice addition to our living room.","welcome addition; nice addition; cool addition","A2"
"Account","/əˈkaʊnt/","n.","account, accounts","accountant (n.), accounting (n.), accountable (adj.)","a record or narrative description of past events","She opened a new bank account at the local branch yesterday.","dream account; gospel account; personal account","A2"
"Address","/ˈæˌdɹɛs/","n.","address, addresses","addressee (n.), addressable (adj.)","the details of where someone lives or where a building is, such as the street name and number","Jesse couldn't join us herself, but sent us an address and a contact, and off we went.","address these problems; farewell address; phone number address","A2"
"Advice","/æˈdvaɪs/","n. [U]","no changes","None","a proposal for an appropriate course of action","No, you don't give advice to older you.","giving him advice; specific advice; common advice","A2"
"Actual","/ˈæktʃəwəl/","adj.","actual, more actual, most actual","actuality (n.), actualize (v.)","presently existing in fact and not merely potential or possible","The actual cost was higher than the price on the menu.","actual thing; actual return; actual quality","A2"
"Affair","/əˈfɛɹ/","n.","affair, affairs","None","a vaguely specified concern","We can't predict world affairs a month.","foreign affair; mysterious affair; affair democratically","A2"
"Advance","/əˈdvæns/","n.","advance, advances","advancer (n.), advancement (n.)","a movement forward","Here we go."" And the graphical advances.","technological advance; continued advance; explain advance","A2"
"Adult","/əˈdʌlt/","n.","adult, adults","adulthood (n.)","a fully developed person from maturity onward","Every adult in the room had to show an ID card.","become adult; got adult; tell adult","A2"
"Ahead","/əˈhɛd/","adv.","no changes","None","at or in the front","Go ahead and put your thumb on.","step ahead; far ahead; stay ahead","A2"
"Aid","/ˈeɪd/","n. [U]","no changes","None","a resource","This one can aid with healing after an injury.","aid kit; aid students; taking military aid","A2"
"Aim","/ˈeɪm/","n.","aim, aims","None","an anticipated outcome that is intended or that guides your planned actions","That is the aim of my next book.","study aim; paper aim; research aim","A2"
"Against","/əˈɡɛnst/","prep.","no changes","None","in opposition to; touching or leaning on the surface of something","It goes against everything what we believe in.","argue against; against isis; against saddam","A2"
"Aircraft","/ˈɛɹˌkɹæft/","n. [U]","no changes","None","a vehicle that can fly","The aircraft landed safely after a long flight.","aircraft carriers; landing aircraft; autonomous aircraft","A2"
"Alarm","/əˈlɑɹm/","n.","alarm, alarms","alarmist (n.)","fear resulting from the awareness of danger","I could set an alarm on my phone.","smoke alarm; alarm wiring; risks really alarm","A2"
"Alike","/əˈlaɪk/","adj.","alike, more alike, most alike","alikeness (n.)","having the same or similar characteristics","The two sisters look very much alike.","experts alike; researchers alike; risk borders alike","A2"
"Album","/ˈælbəm/","n.","album, albums","None","one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc","One, there's the hard albums, CDs for me.","debut album; whole album; album yet","A2"
"Aloud","/əˈlaʊd/","adv.","no changes","None","in a voice loud enough to be heard, not silently","The teacher asked the children to read the story aloud.","read aloud; say aloud; laugh aloud","A2"
"Alive","/əˈlaɪv/","adj.","no changes","aliveness (n.)","possessing life","This is how it feels to be alive.","burned alive; alive again; game alive","A2"
"Altogether","/ˌɔltəˈɡɛðɚ/","adv.","no changes","None","to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')","It's not Steven is a respectable person altogether.","prompts altogether; market ideology altogether; game altogether","A2"
"Ankle","/ˈæŋkəl/","n.","ankle, ankles","anklet (n.)","a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus","I'm , I'm going to throw sneak through and then my ankle got caught.","sprained ankle; twist an ankle; broken ankle","A2"
"Alone","/əˈloʊn/","adj.","alone, more alone, most alone","aloneness (n.)","isolated from others","You're alone in your room at home.","left alone; stand alone; hell alone","A2"
"Anyplace","/ˈɛniˌpleɪs/","adv.","no changes","None","at or in or to any place; (`anyplace' is used informally for `anywhere')","I don't know, it won't go anyplace without a rattle.","anyplace else; see any anyplace; saying anyplace","A2"
"Amount","/əˈmaʊnt/","n.","amount, amounts","None","a quantity of money","We generate enormous amounts of tax revenues.","huge amount; tremendous amount; fair amount","A2"
"Ancient","/ˈeɪntʃənt/","adj.","ancient, more ancient, most ancient","ancientness (n.)","belonging to times long past especially of the historical period before the fall of the Western Roman Empire","It's a saying of the ancient samurai.","ancient near east; ancient rome; study ancient","A2"
"Anger","/ˈæŋɡɚ/","n. [U]","no changes","None","a strong emotion; a feeling that is oriented toward some real or supposed grievance","There is general anger at the elite.","anger frustration; outward anger; anger grows","A2"
"Angle","/ˈæŋɡəl/","n.","angle, angles","angler (n.)","the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians","I want I want to see the low angle triple chin of you.","low angle; angle equal; right angle","A2"
"Among","/əˈmʌŋ/","prep.","no changes","None","in the middle of a group of people or things","She felt happy among her old friends.","among friends; among them; popular among students","A2"
