"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Housework","/ˈhaʊˌswɝk/","n. [U]","no changes","None","the work of cleaning and running a house","After a long week at the office, she spent the whole Saturday catching up on the housework.","compounds housework; housework becomes; own housework","B2"
"Humidity","/hjuˈmɪdəti/","n. [U]","no changes","humid (adj.), humidify (v.)","wetness in the atmosphere","And finally, the Alexa devices integration now supports air quality monitors providing sensors for air quality, VOCC, humidity, temperature, and particulate matter.","humidity temperature; occupancy temperature humidity; humidity levels","B2"
"Hurricane","/ˈhɝəˌkeɪn/","n.","hurricane, hurricanes","None","a severe tropical cyclone usually with heavy rains and winds moving a 73-136 knots (12 on the Beaufort scale)","One of the examples we give of a national crisis was Hurricane Katrina.","hurricane august; deplores hurricane; hurricane fearfully","B2"
"Idiom","/ˈɪdiəm/","n.","idiom, idioms","idiomatic (adj.), idiomatical (adj.)","a manner of speaking that is natural to native speakers of a language","We have I think the fact that we can come up with English idioms and phrases for this easily tells us something about the way that we think about behavior, morality, a self and biology.","cowboy idiom; english idiom; last idiom","B2"
"Hydrogen","/ˈhaɪdɹədʒən/","n. [U]","no changes","hydrogenate (v.)","a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe","And they can use this to make new forms of hydrogen energy that they can ship around the world.","hydrogen spectrum; identifying hydrogen; hydrogen isotopes","B2"
"Humanity","/hjuˈmænɪti/","n. [U]","no changes","human (adj.), humanitarian (adj.)","the quality of being humane","Music, sinkering, syncing up with each other, feeling we're part of this vast group, sharing a sense of humanity, a sense that we all suffer in the same way or exalt in the same way.","help humanity; humanity hanging; destroy humanity","B2"
"Identical","/aɪˈdɛntɪkəl/","adj.","identical, more identical, most identical","identity (n.), identicalness (n.)","exactly alike; incapable of being perceived as different","These, virtually identical scores are from America’s upper-class.","either identical; identical animals; otherwise identical","B2"
"Identification","/aɪˌdɛntəfəˈkeɪʃən/","n.","identification, identifications","identify (v.)","the act of designating or identifying something","I also I'm struck by this the link that you discovered and clearly embody of internalizing a fit person identification.","identification translation hierarchical; early intention identification; proposed identification","B2"
"Idle","/ˈaɪdəl/","adj.","idle, idler, idlest","idler (n.), idleness (n.)","not in action or at work","The best part is that it scales to zero, idle projects don't cost you anything, and it autoscales to handle traffic spikes without any manual intervention.","idle because; idle threat; idle periods","B2"
"Idol","/ˈaɪdəl/","n.","idol, idols","idolise (v.), idolize (v.)","a material effigy that is worshipped","It was , ""Hey, I've spent all it was the agency."" He was , ""We've spent all this time building up a heartthrob teen idol thing.","idol culture; idol fans; criticism against idol","B2"
"Ignorant","/ˈɪɡnɚənt/","adj.","ignorant, more ignorant, most ignorant","ignorance (n.), ignorantness (n.)","uneducated in general; lacking knowledge or sophistication","There are too ignorant to learn how to write it well.","ignorant lazy; ignorant fool; ignorant question","B2"
"Household","/ˈhaʊˌshoʊld/","n.","household, households","householder (n.)","a social unit living together","As a consequence of these fires, a large number of structures are destroyed, releasing household chemicals into the environment as uncontrolled toxins.","household over; household name brands; language household","B2"
"Ignorance","/ˈɪɡnɚəns/","n. [U]","no changes","ignore (v.), ignorant (adj.)","a lack of knowledge or information about something","Her ignorance of the local customs caused a few awkward moments during the trip.","complete ignorance; out of ignorance; ignorance of the law","B2"
"Imaginative","/ɪˈmædʒənətɪv/","adj.","imaginative, more imaginative, most imaginative","imagine (v.), imaginativeness (n.)","(used of persons or artifacts) marked by independence and creativity in thought or action","They're saying, ""We'll put them lower down and maybe we'll use the heat to circulate in the room."" There's lots of imaginative ways around this.","imaginative configurations; imaginative ways around; imaginative compassion","B2"
"Illustration","/ˌɪləsˈtɹeɪʃən/","n.","illustration, illustrations","illustrate (v.)","artwork that helps make something clear or attractive","He's , ""Oh, they did a full page ad."" And I go , ""For illustration, that's a separate fee.","empirical illustration; credibility illustration; use case illustration","B2"
