"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Lone","/ˈloʊn/","adj.","lone, loner, lonest","None","lacking companions or companionship","You weren't a loner in the world.","lone warrior; proud lone; lone adventurer make","A2"
"Link","/ˈlɪŋk/","n.","link, links","linkage (n.)","a connection between two things or people","There is a strong link between the two ideas.","strong link; close link; direct link","A2"
"Listener","/ˈlɪsənɚ/","n.","listener, listeners","listen (v.)","a person who listens to someone or something","My best friend is a kind and patient listener.","good listener; patient listener; active listener","A2"
"Likely","/ˈlaɪkli/","adj.","likely, more likely, most likely","likeliness (n.)","probably going to happen or be true","It is likely to rain later this afternoon.","most likely; likely outcome; likely to happen","A2"
"Limit","/ˈlɪmət/","n.","limit, limits","limiter (n.), limitation (n.)","the greatest possible degree of something","They're at the limits of the GPUs.","upper limit; physical limit; central limit","A2"
"Load","/ˈloʊd/","n.","load, loads","loader (n.), loading (n.)","weight to be borne or conveyed","That's the canonical weight format you can load.","load into; mental load; load because","A2"
"Loss","/ˈlɔs/","n.","loss, losses","lose (v.)","something that is lost","The team felt sad about the loss of their best player.","auxiliary loss; loss functions; scaling loss","A2"
"Liver","/ˈlɪvɚ/","n.","liver, livers","live (v.), livery (adj.)","A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. It is responsible for thousands of biochemical reactions.","It's taking it back to the liver.","liver health; muscle liver; liver problems","A2"
"Liquid","/ˈlɪkwəd/","n.","liquid, liquids","liquify (v.), liquidity (n.), liquidness (n.)","a substance that is liquid at room temperature and pressure","Most of 'em don't use liquid cooling.","clear liquid; liquid cooled; liquid under high","A2"
"Local","/ˈloʊkəl/","adj.","local, more local, most local","locality (n.)","relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area","Feels people are selling their local crafts and food.","local aristocracy; local community; local culture","A2"
"Mango","/ˈmæŋɡoʊ/","n.","mango, mangoes","None","a sweet juicy tropical fruit with yellow flesh","She cut a ripe mango for our breakfast.","ripe mango; sweet mango; fresh mango","A2"
"Magazine","/ˈmæɡəˌzin/","n.","magazine, magazines","None","a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it","Making the magazine was a big wild experiment.","teletext magazine; air magazine; magazine format","A2"
"Luck","/ˈlʌk/","n. [U]","no changes","lucky (adj.)","good things that happen to you by chance","With a bit of luck, we will win the game.","good luck; bad luck; beginner's luck","A2"
"Manager","/ˈmænədʒɚ/","n.","manager, managers","manage (v.), managerial (adj.), managership (n.)","someone who controls resources and expenditures","The manager asked the new staff to work on weekends.","hedge fund manager; hotel manager; football manager","A2"
"Major","/ˈmeɪdʒɚ/","adj.","major, more major, most major","majority (n.)","of greater importance or stature or rank","Cars are a major cause of air pollution in big cities.","major companies; major role; major cities","A2"
"Male","/ˈmeɪl/","adj.","male, maler, malest","maleness (n.)","being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation","Or is the alpha male of chicken.","both male; male friendship; male patients","A2"
"Manner","/ˈmænɚ/","n.","manner, manners","mannerly (adj.)","how something is done or how it happens","Things don't happen necessarily in orderly manner.","seamless manner; image rich manner; significant manner","A2"
"Marriage","/ˈmɛɹɪdʒ/","n.","marriage, marriages","marry (v.)","the state of being a married couple voluntarily joined for life (or until divorce)","A part of which was his marriage.","before marriage; marriage ends; stable marriage","A2"
"Mat","/ˈmæt/","n.","mat, mats","matting (n.)","a thick flat pad used as a floor covering","No, I got to say Mwan, my mat matriarch.","pressure sensor mat; project mat; mod mat","A2"
"Mask","/ˈmæsk/","n.","mask, masks","masker (n.), masking (n.)","a covering to disguise or conceal the face","She wore a mask to keep her face warm in the cold wind.","monetary uncertainty mask; early gas mask; mask carries","A2"
"Mass","/ˈmæs/","n.","mass, masses","None","a large amount or number of something in one place","A mass of people gathered in the square to watch.","a mass of; huge mass; solid mass","A2"
"Match","/ˈmætʃ/","n.","match, matches","matcher (n.)","a game or sports event between two teams or players","Our school won the football match last weekend.","football match; win the match; tennis match","A2"
"Mate","/ˈmeɪt/","n.","mate, mates","matey (adj.)","the officer below the master on a commercial ship","Or you can change the story, mate.","mate drink; mate once; sorry mate","A2"
"Master","/ˈmæstɚ/","n.","master, masters","mastery (n.), masterly (adj.), mastering (n.), mastership (n.)","an artist of consummate skill","We want to be masters in our own home.","master class; master max; ascended master","A2"
"Mature","/məˈtʃʊɹ/","adj.","mature, more mature, most mature","maturity (n.), maturation (n.), maturement (n.), matureness (n.)","characteristic of maturity","That's a mature, non-emotional decision to make.","mature ways; mature system; mature adult","A2"
