word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Sausage,/ˈsɔsədʒ/,n.,"sausage, sausages",None,"A tube of skin filled with seasoned ground meat, cooked and eaten as food.｜填充調味肉末的腸衣管，烹調後可食用","I also tried this ridiculously long sausage, which wound up a lot less impressive than I thought it would be.",pork sausage; sausage roll; quality sausage,B1
Rush,/ˈɹʌʃ/,v.,"rush, rushes, rushed, rushed, rushing","rushy (adj.), rusher (n.), rushing (n.)",move fast｜快速移動,We rushed to catch the last train before the station closed.,rush to catch; rush home; rush through,B1
Saving,/ˈseɪvɪŋ/,n.,"saving, savings",None,a reduction in cost or use; money kept for future use｜成本或使用的減少；為將來使用而儲存的錢,The new heating system produced significant energy savings.,cost saving; energy saving; significant savings,B1
Scarce,/ˈskɛɹs/,adj.,"scarce, scarcer, scarcest","scarcely (adv.), scarcity (n.)",deficient in quantity or number compared with the demand｜數量相較需求不足,Clean water became scarce in the village during the dry summer.,scarce resources; scarce supply; become scarce,B1
Scarf,/ˈskɑɹf/,n.,"scarf, scarves",None,a garment worn around the head or neck or shoulders for warmth or decoration｜環繞頭部、頸部或肩膀的衣物，用於保暖或裝飾,She wrapped a warm scarf around her neck before going out into the cold.,wear a scarf; wool scarf; long scarf,B1
Scary,/ˈskɛɹi/,adj.,"scary, scarier, scariest",None,Making someone feel frightened or afraid.｜使人感到害怕或恐懼,The old house at the end of the road looked dark and scary at night.,extremely scary; scary movie; scary thought,B1
Scale,/ˈskeɪl/,n.,"scale, scales","scalar (adj.), scaling (n.)",an ordered reference standard｜有序的參照標準,"On a scale of one to ten, how much did you enjoy the film?",greater scale; bigger scale; small scale,B1
Scholarship,/ˈskɑlɚˌʃɪp/,n.,"scholarship, scholarships",scholar (n.),financial aid provided to a student on the basis of academic merit｜基於學業成績提供給學生的經濟援助,He won a scholarship that paid for all his years at college.,a full scholarship; win a scholarship; apply for a scholarship,B1
Scholar,/ˈskɑlɚ/,n.,"scholar, scholars","scholarly (adj.), scholarship (n.)",A person who has studied a subject deeply and knows a great deal about it.｜深入研究某科目並對其有深厚了解的人,The young scholar spent many hours reading old books in the library.,biblical scholar; renowned scholar; scholar in residence,B1
Scout,/ˈskaʊt/,n.,"scout, scouts","scouter (n.), scouting (n.)",a person employed to keep watch for some anticipated event｜受僱為某預期事件進行監視的人,The army sent a scout ahead to check the road for danger.,boy scout; talent scout; scout around,B1
Seal,/ˈsil/,n.,"seal, seals",None,"A large sea animal with a smooth body, short limbs, and flippers that lives near cold coasts.｜一種大型海洋動物，體型光滑，有短肢和鰭狀肢，生活在寒冷海岸附近。",A grey seal swam close to the boat and looked at us.,grey seal; harbor seal; seal colony,B1
Scatter,/ˈskætɚ/,v.,"scatter, scatters, scattered, scattered, scattering",scattering (n.),to cause to separate and go in different directions｜使分散開來，朝不同方向移動,The wind scattered the dry leaves across the road.,scatter seeds; scatter across; scatter in all directions,B1
Scissors,/ˈsɪzɚz/,n. [U],no changes,None,an edge tool having two crossed pivoting blades｜一種邊緣工具，有兩片交叉的旋轉刀片,She used a pair of sharp scissors to cut the ribbon on the gift box.,pair of scissors; cut with scissors; sharp scissors,B1
Scientific,/ˌsaɪəˈntɪfɪk/,adj.,"scientific, more scientific, most scientific",None,of or relating to the practice of science｜關於或涉及科學實踐的,They used a scientific method to test their new idea carefully.,scientific rigor; scientific discovery; scientific community,B1
Scientist,/ˈsaɪəntɪst/,n.,"scientist, scientists",science (n.),a person with advanced knowledge of one or more sciences｜在一門或多門科學方面具有高級知識的人,The scientist did many tests before sharing the results with others.,research scientist; computer scientist; fellow scientist,B1
Semester,/səˈmɛstɚ/,n.,"semester, semesters","semestral (adj.), semestrial (adj.)",one of two divisions of an academic year｜學年的兩個學期之一,She will study three new subjects during the next semester at school.,spring semester; final semester; during the semester,B1
Screw,/ˈskɹu/,n.,"screw, screws",screwing (n.),A metal fastener with a spiral ridge that is turned to attach or hold things together.｜一種金屬緊固件，有螺旋紋，可轉動以將物品固定在一起。,He used a small screw to fix the loose handle on the door.,tighten a screw; screw loose; small screw,B1
Scream,/ˈskɹim/,v.,"scream, screams, screamed, screamed, screaming","screamer (n.), screaming (n.)",utter a sudden loud cry｜發出突然的大叫聲,The children began to scream when they saw the big spider.,scream in fear; blood-curdling scream; scream for help,B1
