word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Feasible,/ˈfizəbəl/,adj.,"feasible, more feasible, most feasible","feasibility (n.), feasibly (adv.)",possible to do or achieve without too much difficulty｜可行的,The committee concluded that finishing the project within three months was entirely feasible.,feasible plan; technically feasible; feasible solution,C2
Fable,/ˈfeɪbəl/,n.,"fable, fables",None,a deliberately false or improbable account｜謊言；虛構的故事,The teacher used a simple fable to explain the importance of honesty to the children.,famous fable; tell a fable; ancient fable,C2
Fahrenheit,/ˈfɛɹəˌnhaɪt/,n. [U],no changes,None,a scale for measuring temperature in which water freezes at 32 degrees and boils at 212 degrees｜華氏溫標,On the thermometer the reading climbed steadily until it reached ninety degrees Fahrenheit by noon.,degrees Fahrenheit; in Fahrenheit; convert Fahrenheit to Celsius,C2
Faction,/ˈfækʃən/,n.,"faction, factions",factious (adj.),"A group of people, especially within a political organization, which expresses a shared belief or opinion different from people who are not part of the group.｜派系；小集團",A small faction within the party broke away to form its own political movement.,rival faction; political faction; splinter faction,C2
Extract,/ɪksˈtɹækt/,v.,"extract, extracts, extracted, extracted, extracting","extractor (n.), extraction (n.), extractible (adj.)","to draw out, remove, or obtain something from a source or substance｜取出；提煉",The dentist had to extract two of his decayed teeth before fitting the braces.,extract information; extract oil; extract a tooth,C2
Fiancé,/fiˈɑˌnseɪ/,n.,"fiancé, fiancés",None,A man who is engaged to be married; the man to whom one is engaged; an intended.｜未婚夫,Her fiancé arrived at the wedding ceremony with a warm smile.,her fiancé; devoted fiancé; former fiancé,C2
Familiarity,/fəˌmɪˈljɛɹəti/,n.,"familiarity, familiarities",familiar (adj.),The state of knowing or recognizing someone or something well through experience or study.｜熟悉；通曉,"Similarly, in Author Recognition Tests, literary knowledge organizes by genre, where familiarity with science fiction authors systematically predicts recognition of other science fiction authors.",sense of familiarity; breed familiarity; comfortable familiarity,C2
Fascination,/ˌfæsəˈneɪʃən/,n.,"fascination, fascinations",fascinate (v.),A powerful attraction or interest in someone or something.｜著迷；迷戀,"His brutally intimate memoir reveals that an early fascination with computing led him to study the brain, consciousness and artificial intelligence.",deep fascination; hold fascination; lifelong fascination,C2
Falter,/ˈfɔltɚ/,v.,"falter, falters, faltered, faltered, faltering",faltering (n.),To waver or be unsteady; to weaken or trail off.｜搖擺；躊躇,His voice began to falter as he tried to explain what had happened that evening.,begin to falter; economy falters; voice falters,C2
Fishery,/ˈfɪʃɚi/,n.,"fishery, fisheries",fish (v.),"Fishing: the catching, processing and marketing of fish or other seafood.｜漁業；水產養殖","A region undergoing a profound shift is where the Antarctic Circumpolar Current intersects the Pacific-Antarctic Ridge, an area important for carbon draw-down and fisheries.",coastal fishery; sustainable fishery; manage a fishery,C2
Feeble,/ˈfibəl/,adj.,"feeble, feebler, feeblest","feebly (adv.), feebleness (n.)","Weak, ineffective, or lacking in strength, whether physically or figuratively.｜懦弱的；微弱的；無力的，不論是身體上或比喻意義上的",The coronation offered only a feeble comparison with the scale of the national celebration.,feeble attempt; feeble excuse; too feeble,C2
Feminine,/ˈfɛmənən/,adj.,"feminine, more feminine, most feminine","femininity (n.), feminineness (n.)",Of or pertaining to the female gender.｜女性的；陰柔的,"She preferred a workspace with a feminine aesthetic, incorporating soft colors and floral arrangements.",traditionally feminine; feminine qualities; feminine aesthetic,C2
Fertilizer,/ˈfɝtəˌlaɪzɚ/,n.,"fertilizer, fertilizers",fertilize (v.),any substance such as manure or a mixture of nitrates used to make soil more fertile｜任何如糞肥或硝酸鹽混合物等用來增加土壤肥力的物質,"These bacteria—rhizobia—can take up residence in root nodules and fix atmospheric nitrogen for the plant, acting as a built-in fertilizer.",chemical fertilizer; apply fertilizer; organic fertilizer,C2
Fireproof,/ˈfaɪɚˌpɹuf/,adj.,no changes,None,impervious to damage by fire｜防火的；耐火的,The server room was built with fireproof walls and an automatic suppression system.,fireproof material; fireproof coating; fireproof barrier,C2
Fertility,/fɚˈtɪləti/,n. [U],no changes,fertile (adj.),"The condition, or the degree, of being fertile.｜肥沃的狀態或程度","These forever chemicals are linked to serious health issues such as hormone disruption, gut microbiome disruption, fertility issues, and many other health problems.",fertility treatment; fertility rate; soil fertility,C2
Firecracker,/ˈfaɪɚˌkɹækɚ/,n.,"firecracker, firecrackers",None,firework consisting of a small explosive charge and fuse in a heavy paper casing｜由少量炸藥和引信製成的煙火，包在厚紙外殼中,The children watched in delight as each firecracker burst into a shower of colorful sparks.,light a firecracker; string of firecrackers; firecracker burst,C2
Fin,/ˈfɪn/,n.,"fin, fins",None,"A flat, wing-like appendage on a fish or other aquatic animal, used for propulsion and steering.｜魚類或其他水生動物的扁平翼狀附肢，用於推進和掌控方向",The shark's tall dorsal fin cut through the water as it swam near the boat.,shark fin; dorsal fin; fish fin,C2
Flake,/ˈfleɪk/,n.,"flake, flakes","flaky (adj.), flakey (adj.)","A small, thin, flat piece broken or peeled off from a larger mass; a chip or fragment.｜從較大物體上折斷或剝落的薄而平的碎片；碎片","And if you strike it properly, you can get extremely sharp flakes from it.",snowflake; thin flake; a flake of paint,C2
Finite,/ˈfaɪˌnaɪt/,adj.,no changes,finiteness (n.),bounded or limited in magnitude or spatial or temporal extent｜在大小或空間、時間上有限制或界限的,"The model chooses among a finite number of known, meaningful interpretations that depend on the context of language use.",finite sequences; finite strings; finite differences,C2
Foe,/ˈfoʊ/,n.,"foe, foes",None,An enemy.｜敵人,He gave water to both friends and foes who were wounded on the battlefield.,bitter foe; natural foe; foe in battle,C2
Flunk,/ˈflʌŋk/,v.,"flunk, flunks, flunked, flunked, flunking",None,"Of a student, to fail a class; to not pass.｜指學生不及格；未能通過",He was afraid he would flunk the math test if he did not study all weekend.,flunk an exam; flunk out; flunk math,C2
Folklore,/ˈfoʊˌklɔɹ/,n. [U],no changes,None,"The tales, legends, superstitions, and traditions of a particular ethnic population.｜某特定族群的神話、傳說、迷信和傳統","Aristotle was a keen systematic collector of riddles, folklore, and proverbs; he and his school had a special interest in the riddles of the Delphic Oracle and studied the fables of Aesop.",local folklore; ancient folklore; regional folklore,C2
Flaw,/ˈflɔ/,n.,"flaw, flaws","flawed (adj.), flawless (adj.)","A defect, fault, or imperfection that mars something; a weakness or error.｜使事物受損的缺陷、過失或不完美；弱點或錯誤",A small flaw in the design caused the bridge to fail during the first heavy storm.,major flaw; critical flaw; identify a flaw,C2
Formidable,/ˈfɔɹmədəbəl/,adj.,"formidable, more formidable, most formidable",formidability (n.),"Causing fear, dread, awe, or discouragement as a result of size, strength, or some other impressive feature; commanding respect; causing wonder or astonishment.｜因大小、力量或其他令人印象深刻的特徵而引起恐懼、畏懼、敬畏或氣餒；令人尊敬；令人驚嘆",Recent advancements have positioned large language Models as formidable tools nearing human-level proficiency in various cognitive tasks.,formidable challenge; formidable opponent; formidable task,C2
Flourish,/ˈflɝɪʃ/,v.,"flourish, flourishes, flourished, flourished, flourishing",flourishing (v.),To thrive or grow well.｜繁榮或生長良好,"And homeostatic upregulation is this innate, deeply hardwired drive of all living species to persist and to flourish.",business flourishes; creative flourish; flourish under care,C2
Forsake,/fɔˈɹseɪk/,v.,"forsake, forsakes, forsook, forsaken, forsaking",forsaking (n.),"To abandon, to give up, to leave (permanently), to renounce (someone or something).｜遺棄、放棄、永久離開或拋棄（某人或某物）",She refused to forsake her principles even when the decision brought her serious personal costs.,forsake duty; never forsake; forsake friends,C2
Forthcoming,/ˈfɔɹˈθkʌmɪŋ/,adj.,"forthcoming, more forthcoming, most forthcoming",forthcomingness (n.),Approaching or about to take place.｜即將來臨或即將發生的,"Our findings suggest that certain clusters of technical indicators, when combined with broader economic signals, offer predictive insights into forthcoming sector-specific downturns.",forthcoming event; forthcoming release; forthcoming changes,C2
Fowl,/ˈfaʊl/,n.,"fowl, fowls",fowler (n.),a domesticated gallinaceous bird thought to be descended from the red jungle fowl｜被認為源自紅色野雞的家養雉科鳥類,"Fish, meat, and fowl could be salted or dried, and could be cooked in stews or roasted on a grill.",domestic fowl; roasted fowl; wild fowl,C2
Fortify,/ˈfɔɹtɪˌfaɪ/,v.,"fortify, fortifies, fortified, fortified, fortifying","fort (n.), fortification (n.)","To give power, strength, or vigour to (oneself or someone, or to something); to strengthen.｜給予（自己或某人，或某物）力量、精力或活力；強化",The villagers worked together to fortify the old stone walls against the coming attack.,fortify defenses; fortify a building; fortify oneself,C2
Fracture,/ˈfɹæktʃɚ/,n.,"fracture, fractures",None,"An instance of breaking, a place where something has broken.｜斷裂的情況；某物斷裂的地方",He suffered a small fracture in his wrist after falling off his bicycle.,bone fracture; stress fracture; fracture of the wrist,C2
Fragrance,/ˈfɹeɪɡɹəns/,n.,"fragrance, fragrances",fragrant (adj.),A pleasant smell or odour.｜令人愉悅的氣味。,The sweet fragrance of jasmine drifted through the open window of the garden.,sweet fragrance; natural fragrance; fragrance of flowers,C2
Formulate,/ˈfɔɹmjəˌleɪt/,v.,"formulate, formulates, formulated, formulated, formulating","formula (n.), formulation (n.)",To put into a clear and definite form of statement or expression.｜使明確化；系統化表述。,"Despite the complexity of the formulated optimization problems, due to their non-convexity, we exploit the problems' structure to transform them into linear programs.",formulate a plan; carefully formulate; formulate policy,C2
Fragrant,/ˈfɹeɪɡɹənt/,adj.,"fragrant, more fragrant, most fragrant",fragrance (n.),pleasant-smelling｜芳香的。,The fragrant flowers filled the garden with a sweet scent as they opened in the early morning.,fragrant flower; fragrant rice; fragrant garden,C2
Freeway,/ˈfɹiˌweɪ/,n.,"freeway, freeways",None,a broad highway designed for high-speed traffic｜高速公路。,An accident on the freeway brought the morning traffic to a complete standstill.,drive on the freeway; freeway interchange; busy freeway,C2
Frantic,/ˈfɹæntɪk/,adj.,"frantic, more frantic, most frantic",None,"In a state of great agitation, panic, or hurry; wildly anxious or rushed.｜狂亂的；緊張忙亂的。","Your vision seems too sharp, your thoughts slightly frantic.",frantic search; frantic pace; in a frantic rush,C2
Freak,/ˈfɹik/,n.,"freak, freaks",None,Someone or something that is markedly unusual or unpredictable.｜異常的事物；怪人。,The sudden snowstorm in May was a freak of weather that no one had predicted.,control freak; freak accident; nature freak,C2
Gallop,/ˈɡæləp/,v.,"gallop, gallops, galloped, galloped, galloping",None,To run at a gallop.｜疾馳；飛奔。,"The horse broke into a gallop as it rounded the final bend, leaving all the others far behind.",full gallop; gallop away; horse at gallop,C2
Fume,/ˈfjum/,n.,"fume, fumes",None,a cloud of fine particles suspended in a gas｜氣體中的懸浮微粒；煙霧。,Workers were evacuated from the factory after toxic fumes began leaking from a damaged pipe.,toxic fumes; inhale fumes; exhaust fumes,C2
Fury,/ˈfjʊɹi/,n. [U],no changes,None,Extreme anger.｜暴怒；狂怒。,She slammed the door in a fit of fury and refused to speak to anyone for hours.,full fury; blind fury; unleash fury,C2
Gangster,/ˈɡæŋstɚ/,n.,"gangster, gangsters",gang (n.),A member of a criminal or street gang.｜幫派分子；歹徒。,The film portrays a ruthless gangster who slowly loses control of his own empire.,ruthless gangster; organized-crime gangster; gangster lifestyle,C2
Fuss,/ˈfʌs/,n.,"fuss, fusses",fussy (adj.),"Excessive activity, worry, bother, or talk about something.｜不必要的忙亂或爭吵；小題大做。",He made a great fuss about the small scratch on his new car.,make a fuss; without fuss; unnecessary fuss,C2
