"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Accidental","/ˌæksəˈdɛntəl/","adj.","accidental, more accidental, most accidental","accident (n.)","happening by chance or unexpectedly or unintentionally","And whatever value that has is offset by the risk of an accidental launch.","accidental mutation; avoid accidental; accidental launch","B2"
"Acceptance","/æˈksɛptəns/","n. [U]","no changes","accept (v.), acceptant (adj.)","the mental attitude that something is believable and should be accepted as true","And you and then that helps them because you are radiating that acceptance that they need to come to, which is hard.","consumer acceptance; acceptance condition; acceptance itself","B2"
"Abstract","/æbsˈtɹækt/","adj.","abstract, more abstract, most abstract","abstraction (n.), abstractly (adv.)","existing only in the mind; separated from embodiment","Making sense of the world and acting in it relies on building simplified mental representations that abstract away aspects of reality.","quite abstract; abstract beings; purely abstract","B2"
"Absolute","/ˈæbsəˌlut/","adj.","no changes","absoluteness (n.)","perfect or complete or pure","The MVPF gives policymakers important information about the equity-efficiency trade-off that is not necessarily conveyed by absolute welfare measures.","absolute terms; absolute certainty; absolute cinema","B2"
"Accent","/əˈksɛnt/","n.","accent, accents","accentual (adj.), accentuate (v.)","distinctive manner of oral expression","They give you also a theme manager to slightly modify it if you want to swap out the background image and change the accent color.","chinese accent; icelandic accent; goofy accent","B2"
"Access","/ˈæˌksɛs/","n. [U]","no changes","accession (n.), accessible (adj.)","the right to enter","You access your Hostinger's control panel, select the Docker manager, and quickly see everything that's running.","lose access; got access; private internet access","B2"
"Accountant","/əˈkaʊntənt/","n.","accountant, accountants","account (v.), accountancy (n.), accountantship (n.)","someone who maintains and audits business accounts","When we want to be our own accountant and try to determine, how are we doing.","accountant time; accountant probably needs; every accountant","B2"
"Acquaintance","/əˈkweɪntəns/","n.","acquaintance, acquaintances","acquaint (v.), acquaintanceship (n.)","personal knowledge or information about someone or something","And this was an acquaintance of both of ours.","brief acquaintance; enigmatic acquaintance; case acquaintance","B2"
"Academic","/ˌækəˈdɛmɪk/","adj.","academic, more academic, most academic","academia (n.), academically (adv.)","associated with academia or an academy","In addition, the paper provides a survey-based implementation guide for benchmarking current climate-risk practices and data needs across industry and academic stakeholders.","academic literature; average academic; academic study","B2"
"Addict","/əˈdɪkt/","n.","addict, addicts","addiction (n.), addictive (adj.)","someone who is so ardently devoted to something that it resembles an addiction","We had a guest on this podcast who's a self-admitted gambling addict.","addict too; morphine addict; real addict","B2"
