word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Late,/ˈleɪt/,adj.,"late, later, latest",lateness (n.),being or occurring at an advanced period of time or after a usual or expected time｜處於或發生在時間的晚期或在通常或預期時間之後,It's not too late to seek a newer world.,a bit late; very late; a year late,A1
Lake,/ˈleɪk/,n.,"lake, lakes",None,a large area of water with land all around it｜被陸地環繞的大片水域,We had a picnic next to the quiet lake.,a big lake; swim in the lake; by the lake,A1
Learn,/ˈlɝn/,v.,"learn, learns, learned, learned, learning",learner (n.),gain knowledge or skills｜獲得知識或技能,The children learn to read at school.,learn more; learn from; learn quickly,A1
Leader,/ˈlidɚ/,n.,"leader, leaders","lead (v.), leadership (n.)",a person who guides or is in charge of a group｜引導或負責一個團體的人,She is a good leader of our team.,team leader; good leader; strong leader,A1
Language,/ˈlæŋɡwədʒ/,n.,"language, languages",None,the words and rules that people use to talk and write｜人們用來說話和寫作的詞彙和規則,She can speak three different languages very well.,foreign language; learn a language; native language,A1
Lawyer,/ˈlɔjɚ/,n.,"lawyer, lawyers",law (n.),a professional person authorized to practice law; conducts lawsuits or gives legal advice｜獲授權執業的法律專業人員；進行訴訟或提供法律建議,She hired a lawyer to help her with the legal papers.,immigration lawyer; defense lawyer; criminal lawyer,A1
Left,/ˈlɛft/,adj.,"left, no changes",None,being or located on or directed toward the side of the body to the west when facing north｜當面朝北時，身體左側或朝向身體左側的,We have an empty one here on the left.,left side; left hand; left corner,A1
Leave,/ˈliv/,v.,"leave, leaves, left, left, leaving",leaver (n.),go away from a place｜離開一個地方,We need to leave the house by eight in the morning.,leave home; leave school; leave early,A1
Less,/ˈlɛs/,pron./adv./adj./prep.,no changes,None,a smaller amount of something｜較少量的某物,I want to eat less sugar every day.,less time; eat less; less money,A1
Line,/ˈlaɪn/,n.,"line, lines","liner (n.), lineal (adj.), lineation (n.)",a formation of people or things one beside another｜人或物並排排列的隊形,There's a line that we don't cross.,draw a line; a straight line; wait in line,A1
Lead,/ˈlɛd/,v.,"lead, leads, led, led, leading",leader (n.),take somebody somewhere｜帶某人去某處,This small path will lead you to the lake.,lead the way; lead a team; lead a group,A1
Leg,/ˈlɛɡ/,n.,"leg, legs",leggy (adj.),one of the body parts that people and animals use to walk｜人或動物用來走路的身體部位之一,He hurt his leg while playing football.,left leg; broken leg; long legs,A1
Level,/ˈlɛvəl/,n.,"level, levels","leveler (n.), leveller (n.)",a position on a scale of intensity or amount or quality｜強度、數量或品質在等級上的位置,Her reading level improved during the school year.,next level; every level; basic level,A1
Life,/ˈlaɪf/,n. [U],no changes,lifer (n.),the time when a person is alive｜一個人存活的時期,They have a happy life in the countryside.,happy life; daily life; family life,A1
Laugh,/ˈlæf/,v.,"laugh, laughs, laughed, laughed, laughing","laugher (n.), laughable (adj.)",to make sounds with your voice because something is funny｜因為覺得好笑而發出聲音,The children laughed at the funny clown.,laugh loudly; start to laugh; laugh together,A1
Lazy,/ˈleɪzi/,adj.,"lazy, lazier, laziest",None,not wanting to work or make an effort; not liking to do things｜不想工作或不努力的；不喜歡做事的,He was too lazy to clean his room after school.,lazy day; too lazy; be lazy,A1
Let,/ˈlɛt/,v.,"let, lets, let, let, letting",None,make it possible through a specific action or lack of action for something to happen｜通過特定行動或不行動使某事發生成為可能,Let me ask you about video games.,let alone; let go; let in,A1
Light,/ˈlaɪt/,n. [U],no changes,"lighter (n.), lightness (n.)",the brightness from the sun or a lamp that lets us see｜來自太陽或燈的亮度，使我們能看見,Please turn on the light in the kitchen.,turn on the light; bright light; warm light,A1
Library,/ˈlaɪˌbɹɛɹi/,n.,"library, libraries",None,a room where books are kept｜存放書籍的房間,I read books quietly in the library.,public library; school library; entire library,A1
Letter,/ˈlɛtɚ/,n.,"letter, letters",letterer (n.),a written message addressed to a person or organization｜寫給某人或組織的文字訊息,You had to pay for the rejection letter that you would eventually receive.,write a letter; love letter; apology letter,A1
Lesson,/ˈlɛsən/,n.,"lesson, lessons",None,a unit of instruction｜教學單位,Our music lesson starts at ten o'clock.,good lesson; big lesson; lesson plan,A1
Like,/ˈlaɪk/,prep.,no changes,"likeable (adj.), likeness (n.)",to find something pleasant or enjoyable; similar to someone or something; used to introduce an example｜覺得某事愉快或享受；像；用來舉例,She sings like a professional at the school show.,anything like; programs like; app like,A1
Lie,/ˈlaɪ/,v.,"lie, lies, lay, lied, lying",None,to be in a flat resting position on a surface｜平躺於某物表面,I like to lie on the grass and look at the sky.,lie down; lie in bed; lie on the sofa,A1
Live,/ˈlaɪv/,v.,"live, lives, lived, lived, living","liver (n.), liveable (adj.), liveness (n.)",inhabit or live in; be an inhabitant of｜居住在某地,They live in a small house by the sea.,live up; live performances; live here,A1
List,/ˈlɪst/,n.,"list, lists","lister (n.), listing (n.)","a series of names, items, or numbers written one after another｜依序寫下的名字、項目或數字",Please write your name at the top of the list.,make a list; a shopping list; a long list,A1
Lemon,/ˈlɛmən/,n.,"lemon, lemons",lemony (adj.),yellow oval fruit with juicy acidic flesh｜黃色橢圓形水果，果肉多汁味酸,I'm going to add some lemon juice.,lemon juice; lemon zest; fresh lemon,A1
Lion,/ˈlaɪən/,n.,"lion, lions",lionize (v.),large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male｜大型群居肉食性貓科動物，產於非洲和印度，雄性有淺褐色毛皮和蓬鬆鬃毛,The lion rested in the shade during the hottest part of the day.,mountain lion; roaring lion; young lion,A1
Little,/ˈlɪtəl/,adj.,"little, littler, littlest",littleness (n.),small in size or amount｜尺寸或數量小的,She gave the little boy a glass of warm milk.,a little dog; little house; little boy,A1
Look,/ˈlʊk/,v.,"look, looks, looked, looked, looking",looker (n.),to turn your eyes toward something to see it｜將目光轉向某物以觀看,Please look at the picture on the wall.,look at; look here; look around,A1
Long,/ˈlɔŋ/,adj.,"long, longer, longest","length (n.), longish (adj.)",measuring a great distance from one end to the other; lasting a large amount of time｜從一端到另一端距離長的；持續時間長的,She has very long brown hair and big eyes.,day long; take long; long history,A1
Lip,/ˈlɪp/,n.,"lip, lips",None,either of two fleshy folds of tissue that surround the mouth and play a role in speaking｜圍繞嘴巴的兩片肉質皺褶組織，說話時起作用,She had a small cut on her lower lip.,lip balm; tinted lip; lip combo,A1
Lose,/ˈluz/,v.,"lose, loses, lost, lost, losing",loser (n.),"fail to keep or to maintain; cease to have, either physically or in an abstract sense｜未能保住或維持；在實體或抽象意義上不再擁有",Be careful not to lose your keys.,lose money; lose control; lose access,A1
Lonely,/ˈloʊnli/,adj.,"lonely, more lonely, most lonely",loneliness (n.),sad because you are alone or have no friends｜因獨自一人或沒有朋友而悲傷,He felt lonely after all his friends moved away.,feel lonely; lonely place; very lonely,A1
Listen,/ˈlɪsən/,v.,"listen, listens, listened, listened, listening","listener (n.), listening (n.)",hear with intention｜有意識地聽,Please listen carefully when the teacher explains the rules.,listen carefully; listen to music; listen up,A1
Lunch,/ˈlʌntʃ/,n.,"lunch, lunches","luncher (n.), lunching (n.)",a midday meal｜午餐,We're going to do lunch next week.,buy lunch; quick lunch; have lunch,A1
Lot,/ˈlɑt/,n.,"lot, lots",None,a large number or amount of something｜大量或許多的某物,A lot of people came to the park today.,a lot of; quite a lot; lot of fun,A1
Mad,/ˈmæd/,adj.,"mad, madder, maddest",madness (n.),roused to anger｜被激怒的,My brother gets mad when he loses a game.,mad rush; mad respect; mad dreams,A1
Lovely,/ˈlʌvli/,adj.,"lovely, more lovely, most lovely",loveliness (n.),appealing to the emotions as well as the eye｜感動人心且賞心悅目的,She wore a lovely dress to the party.,lovely day; lovely place; lovely smile,A1
Loud,/ˈlaʊd/,adv.,"loud, louder, loudest",loudness (n.),with relatively high volume｜以較高的音量,He played the music loud enough for everyone to hear.,loud music; loud noise; loud voice,A1
Love,/ˈlʌv/,n. [U],no changes,"lover (n.), loveable (adj.)",a strong positive emotion of regard and affection｜對人的敬重與喜愛的強烈正向情感,Their love for each other grew stronger over the years.,fall in love; love story; true love,A1
