"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Acclaim","/əˈkleɪm/","n. [U]","no changes","acclamation (n.)","An acclamation; a shout of applause.","The young pianist won great acclaim for her brilliant and moving performance.","critical acclaim; widespread acclaim; win acclaim","C2"
"Aboriginal","/ˌæbɚˈɪdʒənəl/","adj.","no changes","aborigine (n.)","First according to historical or scientific records; original; indigenous; primitive.","The first use of bitumen in the New World was by aboriginal peoples.","indigenous aboriginal; aboriginal community; aboriginal rights","C2"
"Accordance","/əˈkɔɹdəns/","n. [U]","no changes","accord (v.), accordant (adj.)","Agreement; harmony; conformity; compliance.","In accordance with the doctrine of Nils Bohr, the operations carry individual names of classical significance.","in accordance with; full accordance; accordance with law","C2"
"Accessory","/æˈksɛsɚi/","n.","accessory, accessories","accessorial (adj.)","Something that belongs to part of another main thing; something additional and subordinate, an attachment.","Wearable technology are smart electronic devices that can be worn on the body as an implant or an accessory.","fashion accessory; charged as accessory; accessory to crime","C2"
"Accordingly","/əˈkɔɹdɪŋli/","adv.","accordingly, more accordingly, most accordingly","None","Agreeably; correspondingly; suitably","To safely and efficiently interact with other road participants, AVs have to accurately predict the behavior of surrounding vehicles and plan accordingly.","act accordingly; respond accordingly; adjust accordingly","C2"
"Academy","/əˈkædəmi/","n.","academy, academies","academic (adj.), academician (n.)","An institution for the study of higher learning; a college or a university; typically a private school.","She enrolled at a prestigious music academy to refine her skills as a concert pianist.","military academy; science academy; music academy","C2"
"Abundance","/əˈbʌndəns/","n. [U]","no changes","abundant (adj.)","A large quantity; many.","But now we live in times of abundance, but that hardwiring to crave the donuts hasn't gone away.","natural abundance; in abundance; abundance of resources","C2"
"Abstraction","/æbsˈtɹækʃən/","n.","abstraction, abstractions","abstract (v.)","The act of abstracting, separating, withdrawing, or taking away; withdrawal; the state of being taken away.","His paintings move toward pure abstraction, leaving behind any recognizable shapes or figures.","abstraction properties; abstraction approach; hierarchical abstraction","C2"
"Accountable","/əˈkaʊntəbəl/","adj.","accountable, more accountable, most accountable","account (v.), accountability (n.)","Obliged, when called upon, to answer (for one’s deeds); answerable.","SMART goals are really useful because they hold you accountable.","hold accountable; remain accountable; accountable to the public","C2"
"Acre","/ˈeɪkɚ/","n.","acre, acres","None","a unit of area (4840 square yards) used in English-speaking countries","The farmer purchased five acres of fertile land along the riverbank.","vast acres; acres of land; several thousand acres","C2"
"Acne","/ˈækni/","n. [U]","no changes","None","A skin condition, usually of the face, that is common in adolescents. It is characterised by red pimples, and is caused by the inflammation of sebaceous glands through bacterial infection; acne vulgaris.","The dermatologist recommended a topical treatment to control the patient's severe acne.","severe acne; treat acne; acne breakout","C2"
"Accusation","/ˌækjəˈzeɪʃən/","n.","accusation, accusations","accusatory (adj.), accuse (v.)","The act of accusing.","Tebboune rejects these accusations, claiming to be the victim of a witch hunt.","face an accusation; false accusation; deny the accusation","C2"
"Accumulation","/əˌkjumjəˈleɪʃən/","n. [U]","no changes","accumulate (v.)","The act of amassing or gathering, as into a pile.","The accumulation of adaptations in an open-ended manner during lifetime learning is a holy grail in reinforcement learning, intrinsic motivation, artificial curiosity, and developmental robotics.","gradual accumulation; accumulation of wealth; toxic accumulation","C2"
"Admiral","/ˈædmɚəl/","n.","admiral, admirals","None","The commander of a naval squadron or fleet, regardless of formal rank.","The admiral ordered the fleet to retreat once the storm made further fighting impossible.","fleet admiral; rear admiral; admiral in command","C2"
"Addiction","/əˈdɪkʃən/","n.","addiction, addictions","addictive (adj.)","A state that is characterized by compulsive drug use or compulsive engagement in rewarding behavior, despite negative consequences.","He sought professional help to overcome his addiction and slowly rebuilt his shattered life.","drug addiction; addiction to gambling; overcome addiction","C2"
"Adolescence","/ˌædəˈlɛsəns/","n. [U]","no changes","adolesce (v.), adolescent (adj.)","the time period between the beginning of puberty and adulthood","There's childhood, there's adolescence, and there's adulthood.","during adolescence; early adolescence; adolescent challenges","C2"
"Adaptation","/ˌædəˈpteɪʃən/","n.","adaptation, adaptations","adapt (v.)","The process of adapting something or becoming adapted to a situation; adjustment, modification.","In the case of living things, it implies adaptation to a particular way of life.","cultural adaptation; biological adaptation; successful adaptation","C2"
"Affectionate","/əˈfɛkʃənət/","adj.","affectionate, more affectionate, most affectionate","affection (n.), affectionateness (n.)","Having affection or warm regard; loving; fond.","The cat is absent for long periods and is forgiven because her excuses are so convincing and she is naturally charming and affectionate.","deeply affectionate; affectionate gesture; affectionate nickname","C2"
"Aesthetic","/ɛˈsθɛtɪk/","adj.","aesthetic, more aesthetic, most aesthetic","aesthetically (adv.), aestheticism (n.)","Concerned with beauty, artistic effect, or appearance.","The 19th-century neo-impressionist movement had an ecological aesthetic and offered an example of an anarchist perception of the road towards socialism.","aesthetic appeal; strong aesthetic; aesthetic value","C2"
"Advisory","/æˈdvaɪzɚi/","adj.","advisory, more advisory, most advisory","advise (v.)","Having the power to give advice or recommendations, not to make decisions.","The committee plays a purely advisory role and cannot enforce any of its suggestions.","advisory board; advisory committee; advisory role","C2"
"Airtight","/ˈɛˌɹtaɪt/","adj.","no changes","None","Impermeable to air or other gases.","Drebbel’s airtight submersibles and methodical trials echo in the motion studies and environmental chambers of Salomon’s House.","airtight container; airtight seal; airtight argument","C2"
"Airway","/ˈɛˌɹweɪ/","n.","airway, airways","None","The trachea.","Smooth muscle is found in the walls of the uterus, bladder, intestines, stomach, oesophagus, respiratory airways, and blood vessels.","upper airway; open the airway; airway obstruction","C2"
"Algebra","/ˈældʒəbɹə/","n. [U]","no changes","algebraic (adj.), algebraist (n.), algebraical (adj.)","the mathematics of generalized arithmetical operations","Without presupposing any quantization scheme, this algebra is inherently non-commutative and comprises a large set of dynamics.","linear algebra; basic algebra; algebra equation","C2"
"Abbreviate","/əˈbɹiviˌeɪt/","v.","abbreviate, abbreviates, abbreviated, abbreviated, abbreviating","abbreviation (n.)","To shorten by omitting parts or details.","Editors often abbreviate long organisation names to save space within a headline.","abbreviate a word; commonly abbreviate; abbreviate the title","C2"
"Administrate","/æˈdmɪnɪsˌtɹeɪt/","v.","administrate, administrates, administrated, administrated, administrating","administrable (adj.), administrator (n.), administrative (adj.)","to administer","I don't want to say this is the perfect solution to administrate your server without you having to do something.","administrate a system; administrate resources; administrate the program","C2"
"Accustom","/əˈkʌstəm/","v.","accustom, accustoms, accustomed, accustomed, accustoming","accustomed (v.)","make psychologically or physically used (to something)","Because Toosheh is downlink only, it can sometimes feel hard to explain the value of this technology to those living in the free world, those accustomed to open internet access.","become accustomed; accustom to change; accustom oneself","C2"
"Abound","/əˈbaʊnd/","v.","abound, abounds, abounded, abounded, abounding","abundance (n.), abundant (adj.)","To be full to overflowing; to bristle.","The animals of Animal Farm are terrified of Frederick, as rumours abound of him abusing his animals and entertaining himself with cockfighting.","wildlife abounds; opportunities abound; abound with life","C2"
"Affirm","/əˈfɝm/","v.","affirm, affirms, affirmed, affirmed, affirming","affirmer (n.), affirmable (adj.), affirmation (n.), affirmative (adj.), affirmatory (adj.)","To agree, verify or concur; to answer positively.","Assessments using metrics such as precision , recall , coverage , graph consistency , novelty detection , and expert validation affirm its robustness and coherence.","affirm identity; firmly affirm; affirm a belief","C2"
"Abide","/əˈbaɪd/","v.","abide, abides, abided, abided, abiding","abidance (n.)","To endure without yielding; to withstand.","The importance of 'iythar (also known as ) lies in sacrifice for the sake of the greater good; Islam considers those practicing as abiding by the highest degree of nobility.","abide by rules; abide the outcome; abide by the decision","C2"
"Affiliate","/əˈfɪliˌeɪt/","v.","affiliate, affiliates, affiliated, affiliated, affiliating","affiliation (n.)","To adopt; to receive into a family as one's offspring","The independent clinic decided to affiliate with the regional hospital network to share resources.","affiliate with; close affiliate; affiliated organization","C2"
"Administer","/əˈdmɪnəstɚ/","v.","administer, administers, administered, administered, administering","administrable (adj.), administration (n.), administrative (adj.)","To apportion out, distribute.","The nurse will administer the medicine to the patient every morning.","administer a test; administer medication; administer justice","C2"
"Alienate","/ˈeɪljəˌneɪt/","v.","alienate, alienates, alienated, alienated, alienating","alienation (n.)","To convey or transfer to another, as title, property, or right; to part voluntarily with ownership of.","A lot of trauma survivors with PTSD feel really alienated.","feel alienated; alienate supporters; become alienated","C2"
"Aluminum","/əˈlumənəm/","n. [U]","no changes","aluminise (v.), aluminize (v.), aluminous (adj.)","a silvery ductile metallic element found primarily in bauxite","An increase in Armenia's exports to the US in 2009 and 2010 has been due to shipments of aluminum foil.","aluminum alloy; lightweight aluminum; aluminum frame","C2"
"Alligator","/ˈæləˌɡeɪtɚ/","n.","alligator, alligators","None","leather made from alligator's hide","Each illustration features an animal from the animal kingdom (A is for alligator and armadillo, B is for butterfly, C is for cat, etc.","wild alligator; alligator attack; alligator habitat","C2"
"Altitude","/ˈæltəˌtud/","n.","altitude, altitudes","altitudinal (adj.), altitudinous (adj.)","The absolute height of a location, usually measured from sea level.","At high altitude, the reduced oxygen pressure forces mountaineers to acclimatize gradually.","high altitude; altitude sickness; gain altitude","C2"
"Accumulate","/əˈkjumjəˌleɪt/","v.","accumulate, accumulates, accumulated, accumulated, accumulating","accumulation (n.), accumulative (adj.)","To heap up in a mass; to pile up; to collect or bring together (either literally or figuratively), often gradually and without active intent.","These normally play an important role in controlling the growth of algae and also forage on detritus that accumulates as sediment on the bottom.","accumulate debt; gradually accumulate; accumulate savings","C2"
"Allege","/əˈlɛdʒ/","v.","allege, alleges, alleged, alleged, alleging","allegation (n.)","To state under oath, to plead.","But they do not worship Hercules, alleging as a reason that he ravaged their country.","allege misconduct; the alleged victim; allegedly commit","C2"
"Ambiguity","/ˌæmbɪˈɡjuəti/","n.","ambiguity, ambiguities","ambiguous (adj.)","The state of being ambiguous; the state of leaving room for more than one interpretation.","We extend previous works and present the PARTNR algorithm that can detect ambiguities in the trained policy by analyzing multiple modalities in the pick and place poses using topological analysis.","create ambiguity; resolve ambiguity; legal ambiguity","C2"
"Align","/əˈlaɪn/","v.","align, aligns, aligned, aligned, aligning","alignment (n.)","To form a line; to fall into line.","Simply put, excellence is involved engagement in something worthwhile that aligns with your values.","align with values; align interests; align politically","C2"
"Anthem","/ˈænθəm/","n.","anthem, anthems","None","Antiphon.","McCaskey organized the Anthem Foundation for Objectivist Scholarship, which provides grants for scholarly work on Objectivism in academia.","national anthem; play the anthem; anthem for a generation","C2"
"Annoyance","/əˈnɔɪəns/","n.","annoyance, annoyances","annoy (v.)","That which annoys.","A malicious applet can infect a computer system in many ways, including denial of service, invasion of privacy, and annoyance.","express annoyance; source of annoyance; minor annoyance","C2"
"Analogy","/əˈnælədʒi/","n.","analogy, analogies","analogise (v.), analogist (n.), analogize (v.), analogous (adj.), analogical (adj.)","A relationship of resemblance or equivalence between two situations, people, or objects, especially when used as a basis for explanation or extrapolation.","Socrates uses various analogies, discussing athletics and the sciences to prove his point.","good analogy; relevant analogy; financial analogy","C2"
"Amplify","/ˈæmpləˌfaɪ/","v.","amplify, amplifies, amplified, amplified, amplifying","amplification (n.), amplifier (n.)","To render larger, more extended, or more intense.","But really, they're amplifying what's already there.","amplify the effect; greatly amplify; amplify the signal","C2"
"Anchor","/ˈæŋkɚ/","n.","anchor, anchors","anchorage (n.)","A tool used to moor a vessel to the bottom of a sea or river to resist movement.","The sailors dropped the anchor as soon as the ship reached the sheltered bay.","cast anchor; anchor point; serve as anchor","C2"
"Anticipation","/æˌntɪsəˈpeɪʃən/","n.","anticipation, anticipations","anticipate (v.)","The act of anticipating, taking up, placing, or considering something beforehand, or before the proper time in natural order.","Alongside Stoicism, Taoism has been said to have had ""significant anticipations"" of anarchism.","in anticipation; build anticipation; sense of anticipation","C2"
"Animate","/ˈænəmət/","v.","animate, animates, animated, animated, animating","animator (n.), animateness (n.)","To impart motion or the appearance of motion to.","Awards in short film categories (Best Documentary Short Subject, Best Animated Short Film, and Best Live Action Short Film) have different eligibility rules from most other competitive awards.","animate a character; animate the scene; digitally animate","C2"
"Analytical","/ˌænəˈlɪtɪkəl/","adj.","analytical, more analytical, most analytical","analysis (n.)","Of or pertaining to analysis; resolving into elements or constituent parts","This picture allows for an efficient contraction with a simple diagrammatic interpretation and is amenable to analytical study of holographic quantum error-correcting codes.","analytical skills; analytical approach; analytical framework","C2"
"Antibiotic","/ˌæntibiˈɑtɪk/","n.","antibiotic, antibiotics","None","a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections","Environmental issues include greenhouse gas emissions from agriculture, depletion of aquifers, deforestation, antibiotic resistance, and Agricultural pollution.","prescribe antibiotics; antibiotic resistance; take antibiotics","C2"
"Antonym","/ˈæn.təˌnɪm/","n.","antonym, antonyms","antonymous (adj.)","a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other","In linguistics, 'hot' and 'cold' are antonyms because each expresses the opposite meaning of the other.","near antonym; antonym pair; semantic antonym","C2"
"Applaud","/əˈplɔd/","v.","applaud, applauds, applauded, applauded, applauding","applauder (n.), applaudable (adj.)","To express approval (of something) by clapping the hands.",""" we are quite concerned."" Some members of Congress applauded Obama's decision.","warmly applaud; applaud the decision; audience applauded","C2"
"Apprentice","/əˈpɹɛntəs/","n.","apprentice, apprentices","apprenticeship (n.)","A trainee, especially in a skilled trade.","When observing task demonstrations, human apprentices are able to identify whether a given task is executed correctly long before they gain expertise in performing that task.","trade apprentice; take on an apprentice; skilled apprentice","C2"
"Archaeology","/ˌɑɹkiˈɑlədʒi/","n. [U]","no changes","archaeologic (adj.), archaeologist (n.), archaeological (adj.)","the branch of anthropology that studies prehistoric people and their cultures","Resurrecting Ancient Practices If you're thinking of Indiana Jones, traditional archaeology is not that.","field archaeology; study archaeology; archaeology findings","C2"
